Nodes,DemandPairs,TreeType,DPType,Algorithm,Seed,Solvable,KernelSize,AlgTreeOps,AlgDPOps,AlgDPEdgeKeyOps,AlgDPEdgeValueOps,AlgTicksApplicability,AlgTicksModifying,AlgTimeApplicability,AlgTimeModifying,RR1Name,RR1ContractedEdges,RR1RemovedDPs,RR1ChangedDPs,RR1TreeOps,RR1DPOps,RR1DPEdgeKeyOps,RR1DPEdgeValueOps,RR1TicksApplicability,RR1TicksModifying,RR1TimeApplicability,RR1TimeModifying,RR2Name,RR2ContractedEdges,RR2RemovedDPs,RR2ChangedDPs,RR2TreeOps,RR2DPOps,RR2DPEdgeKeyOps,RR2DPEdgeValueOps,RR2TicksApplicability,RR2TicksModifying,RR2TimeApplicability,RR2TimeModifying,RR3Name,RR3ContractedEdges,RR3RemovedDPs,RR3ChangedDPs,RR3TreeOps,RR3DPOps,RR3DPEdgeKeyOps,RR3DPEdgeValueOps,RR3TicksApplicability,RR3TicksModifying,RR3TimeApplicability,RR3TimeModifying,RR4Name,RR4ContractedEdges,RR4RemovedDPs,RR4ChangedDPs,RR4TreeOps,RR4DPOps,RR4DPEdgeKeyOps,RR4DPEdgeValueOps,RR4TicksApplicability,RR4TicksModifying,RR4TimeApplicability,RR4TimeModifying,RR5Name,RR5ContractedEdges,RR5RemovedDPs,RR5ChangedDPs,RR5TreeOps,RR5DPOps,RR5DPEdgeKeyOps,RR5DPEdgeValueOps,RR5TicksApplicability,RR5TicksModifying,RR5TimeApplicability,RR5TimeModifying,RR6Name,RR6ContractedEdges,RR6RemovedDPs,RR6ChangedDPs,RR6TreeOps,RR6DPOps,RR6DPEdgeKeyOps,RR6DPEdgeValueOps,RR6TicksApplicability,RR6TicksModifying,RR6TimeApplicability,RR6TimeModifying,RR7Name,RR7ContractedEdges,RR7RemovedDPs,RR7ChangedDPs,RR7TreeOps,RR7DPOps,RR7DPEdgeKeyOps,RR7DPEdgeValueOps,RR7TicksApplicability,RR7TicksModifying,RR7TimeApplicability,RR7TimeModifying,RR8Name,RR8ContractedEdges,RR8RemovedDPs,RR8ChangedDPs,RR8TreeOps,RR8DPOps,RR8DPEdgeKeyOps,RR8DPEdgeValueOps,RR8TicksApplicability,RR8TicksModifying,RR8TimeApplicability,RR8TimeModifying
500,500,Prüfer,Random,GuoNiedermeierKernelisation,0,False,5,13212,538,29338,14212,0,0,00:00:00.0000000,00:00:00.0000000,IdleEdge,68,0,0,40869,601,79655,9326,157390741,1845975,00:00:15.7390741,00:00:00.1845975,UnitPath,27,463,0,9640,140335,23976,17619,46234,460318,00:00:00.0046234,00:00:00.0460318,DominatedEdge,400,0,0,46021,193069,226246,704347,1385379,803002558,00:00:00.1385379,00:01:20.3002619,DominatedPath,0,33,0,1404,4947,458,328,22472,2101,00:00:00.0022472,00:00:00.0002101,DisjointPaths,0,0,0,49,44,0,0,381144,0,00:00:00.0381144,00:00:00.0000000,OverloadedEdge,0,0,0,0,0,0,0,0,0,00:00:00.0000000,00:00:00.0000000,OverloadedCaterpillar,0,0,0,0,0,0,0,0,0,00:00:00.0000000,00:00:00.0000000,OverloadedL3Leaves,0,0,0,0,0,0,0,0,0,00:00:00.0000000,00:00:00.0000000
500,500,Prüfer,Random,GuoNiedermeierKernelisation,1,True,56,12101,541,27121,13101,0,0,00:00:00.0000000,00:00:00.0000000,IdleEdge,24,0,0,24740,408,34522,5791,28563043,648806,00:00:02.8563043,00:00:00.0648806,UnitPath,11,177,0,2743,88551,7302,4297,25663,179229,00:00:00.0025663,00:00:00.0179229,DominatedEdge,409,0,0,57346,303821,276056,1558265,2483861,763308822,00:00:00.2483861,00:01:16.3308848,DominatedPath,0,231,0,55132,204727,6636,5760,396195,36354,00:00:00.0396195,00:00:00.0036354,DisjointPaths,0,0,0,2904,12052,0,0,98579,0,00:00:00.0098579,00:00:00.0000000,OverloadedEdge,0,0,0,66,217,0,0,77578,0,00:00:00.0077578,00:00:00.0000000,OverloadedCaterpillar,0,0,0,168,49,97,0,30890,0,00:00:00.0030890,00:00:00.0000000,OverloadedL3Leaves,0,0,0,57,48,56,0,60460,0,00:00:00.0060460,00:00:00.0000000
500,500,Prüfer,Random,GuoNiedermeierKernelisation,2,True,34,13290,553,29488,14290,0,0,00:00:00.0000000,00:00:00.0000000,IdleEdge,25,0,0,31721,465,38930,7495,46263970,581469,00:00:04.6263970,00:00:00.0581469,UnitPath,19,373,0,6849,137197,19705,12503,21133,391344,00:00:00.0021133,00:00:00.0391344,DominatedEdge,422,0,0,65718,345080,280824,2040619,3492937,702085587,00:00:00.3492937,00:01:10.2085604,DominatedPath,0,86,0,10837,35688,1790,1452,66329,7714,00:00:00.0066329,00:00:00.0007714,DisjointPaths,0,0,0,1068,3731,0,0,50062,0,00:00:00.0050062,00:00:00.0000000,OverloadedEdge,0,0,0,70,121,0,0,2208,0,00:00:00.0002208,00:00:00.0000000,OverloadedCaterpillar,0,0,0,102,29,57,0,505,0,00:00:00.0000505,00:00:00.0000000,OverloadedL3Leaves,0,0,0,35,28,34,0,158,0,00:00:00.0000158,00:00:00.0000000
500,500,Prüfer,Random,GuoNiedermeierKernelisation,3,False,90,13912,532,30719,14912,0,0,00:00:00.0000000,00:00:00.0000000,IdleEdge,44,0,0,38341,440,54884,9067,55784531,1008656,00:00:05.5784531,00:00:00.1008656,UnitPath,10,238,0,4663,106341,12633,8256,19536,268648,00:00:00.0019536,00:00:00.0268648,DominatedEdge,356,0,0,67688,329785,271202,2080692,3753889,634263242,00:00:00.3753889,00:01:03.4263250,DominatedPath,0,202,0,25716,90551,9321,8547,145726,42635,00:00:00.0145726,00:00:00.0042635,DisjointPaths,0,0,0,3967,15360,0,0,77533,0,00:00:00.0077533,00:00:00.0000000,OverloadedEdge,0,0,0,0,0,0,0,0,0,00:00:00.0000000,00:00:00.0000000,OverloadedCaterpillar,0,0,0,0,0,0,0,0,0,00:00:00.0000000,00:00:00.0000000,OverloadedL3Leaves,0,0,0,0,0,0,0,0,0,00:00:00.0000000,00:00:00.0000000
500,500,Prüfer,Random,GuoNiedermeierKernelisation,4,True,67,12258,523,27435,13258,0,0,00:00:00.0000000,00:00:00.0000000,IdleEdge,41,0,0,30537,459,50232,6876,52662470,963033,00:00:05.2662470,00:00:00.0963033,UnitPath,8,284,0,5095,117598,12858,9216,17649,200042,00:00:00.0017649,00:00:00.0200042,DominatedEdge,384,0,0,50362,243806,262573,1561287,2488721,541108865,00:00:00.2488721,00:00:54.1108881,DominatedPath,0,151,0,22951,85486,4498,3938,174793,23753,00:00:00.0174793,00:00:00.0023753,DisjointPaths,0,0,0,2853,11115,0,0,73085,0,00:00:00.0073085,00:00:00.0000000,OverloadedEdge,0,0,0,71,166,0,0,2074,0,00:00:00.0002074,00:00:00.0000000,OverloadedCaterpillar,0,0,0,201,57,113,0,358,0,00:00:00.0000358,00:00:00.0000000,OverloadedL3Leaves,0,0,0,68,56,67,0,246,0,00:00:00.0000246,00:00:00.0000000
500,500,Prüfer,Random,GuoNiedermeierKernelisation,5,True,81,13252,529,29416,14252,0,0,00:00:00.0000000,00:00:00.0000000,IdleEdge,39,0,0,36752,423,49757,8713,54818762,862174,00:00:05.4818762,00:00:00.0862174,UnitPath,6,108,0,2466,60725,6858,3864,18170,143995,00:00:00.0018170,00:00:00.0143995,DominatedEdge,374,0,0,58798,267734,276432,2402666,4152884,476609893,00:00:00.4152884,00:00:47.6609908,DominatedPath,0,315,0,80135,251185,13071,11901,454377,53716,00:00:00.0454377,00:00:00.0053716,DisjointPaths,0,0,0,4185,17017,0,0,79354,0,00:00:00.0079354,00:00:00.0000000,OverloadedEdge,0,0,0,71,190,0,0,797,0,00:00:00.0000797,00:00:00.0000000,OverloadedCaterpillar,0,0,0,243,71,141,0,325,0,00:00:00.0000325,00:00:00.0000000,OverloadedL3Leaves,0,0,0,82,70,81,0,252,0,00:00:00.0000252,00:00:00.0000000
500,500,Prüfer,Random,GuoNiedermeierKernelisation,6,True,52,13835,523,30564,14835,0,0,00:00:00.0000000,00:00:00.0000000,IdleEdge,82,0,0,46181,536,84248,10317,184348332,1963466,00:00:18.4348332,00:00:00.1963466,UnitPath,11,376,0,10045,131101,23337,18998,18972,349464,00:00:00.0018972,00:00:00.0349464,DominatedEdge,355,0,0,48275,152354,230543,945455,1910986,248899052,00:00:00.1910986,00:00:24.8899066,DominatedPath,0,80,0,11032,34883,1960,1695,65677,8232,00:00:00.0065677,00:00:00.0008232,DisjointPaths,0,0,0,1426,4884,0,0,36678,0,00:00:00.0036678,00:00:00.0000000,OverloadedEdge,0,0,0,66,121,0,0,497,0,00:00:00.0000497,00:00:00.0000000,OverloadedCaterpillar,0,0,0,156,46,91,0,266,0,00:00:00.0000266,00:00:00.0000000,OverloadedL3Leaves,0,0,0,53,45,52,0,175,0,00:00:00.0000175,00:00:00.0000000
500,500,Prüfer,Random,GuoNiedermeierKernelisation,7,True,75,16421,532,35739,17421,0,0,00:00:00.0000000,00:00:00.0000000,IdleEdge,43,0,0,38002,441,50729,8983,53128700,819715,00:00:05.3128700,00:00:00.0819715,UnitPath,6,79,0,2001,55302,5815,2939,25787,128219,00:00:00.0025787,00:00:00.0128219,DominatedEdge,376,0,0,57601,528744,273696,2397683,4247088,194824264,00:00:00.4247088,00:00:19.4824277,DominatedPath,0,362,0,51328,201392,14700,13287,326145,81762,00:00:00.0326145,00:00:00.0081762,DisjointPaths,0,0,0,3229,12449,0,0,51624,0,00:00:00.0051624,00:00:00.0000000,OverloadedEdge,0,0,0,88,163,0,0,639,0,00:00:00.0000639,00:00:00.0000000,OverloadedCaterpillar,0,0,0,225,61,121,0,283,0,00:00:00.0000283,00:00:00.0000000,OverloadedL3Leaves,0,0,0,76,60,75,0,240,0,00:00:00.0000240,00:00:00.0000000
500,500,Prüfer,Random,GuoNiedermeierKernelisation,8,True,77,14187,527,31291,15187,0,0,00:00:00.0000000,00:00:00.0000000,IdleEdge,39,0,0,38426,463,53497,9096,63505249,961785,00:00:06.3505249,00:00:00.0961785,UnitPath,8,193,0,4661,93173,11942,8303,20857,235778,00:00:00.0020857,00:00:00.0235778,DominatedEdge,376,0,0,61362,319833,273063,1958192,3727852,106258951,00:00:00.3727852,00:00:10.6258970,DominatedPath,0,239,0,34917,129103,8740,7790,221864,36010,00:00:00.0221864,00:00:00.0036010,DisjointPaths,0,0,0,3692,14688,0,0,74807,0,00:00:00.0074807,00:00:00.0000000,OverloadedEdge,0,0,0,53,163,0,0,528,0,00:00:00.0000528,00:00:00.0000000,OverloadedCaterpillar,0,0,0,231,67,133,0,317,0,00:00:00.0000317,00:00:00.0000000,OverloadedL3Leaves,0,0,0,78,66,77,0,241,0,00:00:00.0000241,00:00:00.0000000
500,500,Prüfer,Random,GuoNiedermeierKernelisation,9,False,60,12570,534,28058,13570,0,0,00:00:00.0000000,00:00:00.0000000,IdleEdge,27,0,0,29174,440,38839,6875,44088751,749956,00:00:04.4088751,00:00:00.0749956,UnitPath,14,257,0,4942,112453,12737,8609,22480,234133,00:00:00.0022480,00:00:00.0234133,DominatedEdge,399,0,0,64791,308728,284671,1823791,3577372,32407642,00:00:00.3577372,00:00:03.2407655,DominatedPath,0,182,0,30129,108140,4466,3748,218517,23810,00:00:00.0218517,00:00:00.0023810,DisjointPaths,0,0,0,2328,8906,0,0,115205,0,00:00:00.0115205,00:00:00.0000000,OverloadedEdge,0,0,0,0,0,0,0,0,0,00:00:00.0000000,00:00:00.0000000,OverloadedCaterpillar,0,0,0,0,0,0,0,0,0,00:00:00.0000000,00:00:00.0000000,OverloadedL3Leaves,0,0,0,0,0,0,0,0,0,00:00:00.0000000,00:00:00.0000000
