Prufer
Nodes   Short   Long        Short Distribution              Long Distribution
128     2-4     28-53       (2, 4, 0.9), (28, 53, 0.1)      (2, 4, 0.1), (28, 53, 0.9)
256     2-6     40-73       (2, 6, 0.9), (40, 73, 0.1)      (2, 6, 0.1), (40, 73, 0.9)
384     2-7     49-101      (2, 7, 0.9), (49, 101, 0.1)     (2, 7, 0.1), (49, 101, 0.9)
512     2-8     57-123      (2, 8, 0.9), (57, 123, 0.1)     (2, 8, 0.1), (57, 123, 0.9)
640     2-9     63-127      (2, 9, 0.9), (63, 127, 0.1)     (2, 9, 0.1), (63, 127, 0.9)
768     2-10    69-154      (2, 10, 0.9), (69, 154, 0.1)    (2, 10, 0.1), (69, 154, 0.9)
896     2-10    75-169      (2, 10, 0.9), (75, 169, 0.1)    (2, 10, 0.1), (75, 169, 0.9)
1024    2-11    80-165      (2, 11, 0.9), (80, 165, 0.1)    (2, 11, 0.1), (80, 165, 0.9)
2048    2-16    113-238     (2, 16, 0.9), (113, 238, 0.1)   (2, 16, 0.1), (113, 238, 0.9)
3072    2-19    139-277     (2, 19, 0.9), (139, 277, 0.1)   (2, 19, 0.1), (139, 277, 0.9)
4096    2-22    160-336     (2, 22, 0.9), (160, 336, 0.1)   (2, 22, 0.1), (160, 336, 0.9)
5120    2-25    179-382     (2, 25, 0.9), (179, 382, 0.1)   (2, 25, 0.1), (179, 382, 0.9)
6144    2-27    196-420     (2, 27, 0.9), (196, 420, 0.1)   (2, 27, 0.1), (196, 420, 0.9)
7168    2-30    212-431     (2, 30, 0.9), (212, 431, 0.1)   (2, 30, 0.1), (212, 431, 0.9)
8192    2-32    226-481     (2, 32, 0.9), (226, 481, 0.1)   (2, 32, 0.1), (226, 481, 0.9)
9216    2-34    240-504     (2, 34, 0.9), (240, 504, 0.1)   (2, 34, 0.1), (240, 504, 0.9)
10240   2-35    253-502     (2, 35, 0.9), (253, 502, 0.1)   (2, 35, 0.1), (253, 502, 0.9)

Caterpillar
Nodes   Short   Long        Short Distribution                  Long Distribution
128     2-5     35-89       (2, 5, 0.9), (35, 89, 0.1)          (2, 5, 0.1), (35, 89, 0.9)
256     2-11    70-176      (2, 11, 0.9), (70, 176, 0.1)        (2, 11, 0.1), (70, 176, 0.9)
384     2-16    105-281     (2, 16, 0.9), (105, 281, 0.1)       (2, 16, 0.1), (105, 281, 0.9)
512     2-21    139-345     (2, 21, 0.9), (139, 345, 0.1)       (2, 21, 0.1), (139, 345, 0.9)
640     2-26    174-463     (2, 26, 0.9), (174, 463, 0.1)       (2, 26, 0.1), (174, 463, 0.9)
768     2-32    209-539     (2, 32, 0.9), (209, 539, 0.1)       (2, 32, 0.1), (209, 539, 0.9)
896     2-37    244-597     (2, 37, 0.9), (244, 597, 0.1)       (2, 37, 0.1), (244, 597, 0.9)
1024    2-42    279-674     (2, 42, 0.9), (279, 674, 0.1)       (2, 42, 0.1), (279, 674, 0.9)
2048    2-84    558-1313    (2, 84, 0.9), (558, 1313, 0.1)      (2, 84, 0.1), (558, 1313, 0.9)
3072    2-126   836-2078    (2, 126, 0.9), (836, 2078, 0.1)     (2, 126, 0.1), (836, 2078, 0.9)
4096    2-168   1115-2549   (2, 168, 0.9), (1115, 2549, 0.1)    (2, 168, 0.1), (1115, 2549, 0.9)
5120    2-210   1394-3199   (2, 210, 0.9), (1394, 3199, 0.1)    (2, 210, 0.1), (1394, 3199, 0.9)
6144    2-252   1673-4424   (2, 252, 0.9), (1673, 4424, 0.1)    (2, 252, 0.1), (1673, 4424, 0.9)
7168    2-294   1952-5003   (2, 294, 0.9), (1952, 5003, 0.1)    (2, 294, 0.1), (1952, 5003, 0.9)
8192    2-336   2230-5349   (2, 336, 0.9), (2230, 5349, 0.1)    (2, 336, 0.1), (2230, 5349, 0.9)
9216    2-378   2509-6159   (2, 378, 0.9), (2509, 6159, 0.1)    (2, 378, 0.1), (2509, 6159, 0.9)
10240   2-420   2788-6479   (2, 420, 0.9), (2788, 6479, 0.1)    (2, 420, 0.1), (2788, 6479, 0.9)

Degree3Tree
Nodes   Short   Long        Short Distribution              Long Distribution
128     2-4     9-12        (2, 4, 0.9), (9, 12, 0.1)       (2, 4, 0.1), (9, 12, 0.9)
256     2-4     11-14       (2, 4, 0.9), (11, 14, 0.1)      (2, 4, 0.1), (11, 14, 0.9)
384     2-5     12-15       (2, 5, 0.9), (12, 15, 0.1)      (2, 5, 0.1), (12, 15, 0.9)
